node_num,connect_num,average_path_length,node_num_of_max_component,average_path_length_of_max_component
100,1,1.3066666666666666,100,1.3066666666666666
200,1,1.4168341708542713,200,1.4168341708542713
300,1,1.5306354515050167,300,1.5306354515050167
400,1,1.5819799498746867,400,1.5819799498746867
500,1,1.635310621242485,500,1.635310621242485
600,1,1.6686366165831943,600,1.6686366165831943
700,1,1.705391375434294,700,1.705391375434294
800,1,1.7408448060075095,800,1.7408448060075095
900,1,1.7626819923371648,900,1.7626819923371648
1000,1,1.7778438438438438,1000,1.7778438438438438
2000,1,1.8793381690845423,2000,1.8793381690845423
3000,1,1.9217579193064358,3000,1.9217579193064356
4000,1,1.9444208552138034,4000,1.9444208552138034
5000,1,1.967165433086617,5000,1.9671654330866173
6000,1,1.9808608656998388,6000,1.9808608656998388
7000,1,1.9967756618292407,7000,1.996775661829241
8000,1,2.0071836167020876,8000,2.0071836167020876
9000,1,2.0150289785284783,9000,2.0150289785284783
10000,1,2.0275749174917492,10000,2.0275749174917492
11000,1,2.040222582218218,11000,2.040222582218218
12000,1,2.0471715004028113,12000,2.0471715004028113
13000,1,2.05715404143514,13000,2.05715404143514
14000,1,2.0652524670129497,14000,2.0652524670129497
15000,1,2.073722301486766,15000,2.073722301486766
16000,1,2.0807777986124134,16000,2.0807777986124134
17000,1,2.0899948647498294,17000,2.0899948647498294
18000,1,2.0988962905346593,18000,2.0988962905346593
19000,1,2.1075113925663675,19000,2.1075113925663675
20000,1,2.115801210060503,20000,2.115801210060503
30000,1,2.176977930375457,30000,2.176977930375457
40000,1,2.231193594839871,40000,2.231193594839871
50000,1,2.2765386675733517,50000,2.2765386675733517
60000,1,2.314421985366423,60000,2.314421985366423
